Topic,Status,The Feynman Technique,Exercises Done?,Review Data
Core Java Fundamentals (Intro),Not started,,No,
1. Java tutorial for beginners ☕,Not started,,No,
"2. Variables 📖  ",Not started,,No,
3. Swap two variables 💱,Not started,,No,
4. User input ⌨️,Not started,,No,
5. Expressions 🧮,Not started,,No,
6. Math class 📐,Not started,,No,
7. Random numbers 🎲,Not started,,No,
Conditional Statements & Loops,Not started,,No,
"8. If statements 🚧 ",Not started,,No,
"9. Switch statements ⬇  ",Not started,,No,
"10. Logical operators ❗ ",Not started,,No,
"11. While loop 🔄 ",Not started,,No,
"12. For loop ➰ ",Not started,,No,
"13. Nested loops ➿ ",Not started,,No,
Arrays & Data Structures,Not started,,No,
14. Arrays 🚗,Not started,,No,
15. 2D Arrays 🚚,Not started,,No,
16. String methods 💬,Not started,,No,
17. Wrapper classes 🎁,Not started,,No,
18. ArrayList 🧾,Not started,,No,
19. 2D ArrayList 📜,Not started,,No,
"20. For-each loop 🔃  ",Not started,,No,
Functions & Methods,Not started,,No,
21. Methods 📞,Not started,,No,
22. Overloaded methods ☎️,Not started,,No,
"23. Printf 🖨️ ",Not started,,No,
24. Final keyword ⛔,Not started,,No,
Object-Oriented Programming (OOP),Not started,,No,
25. Objects (OOP) ☕,Not started,,No,
26. Constructors 👷,Not started,,No,
27. Variable scope 🌍,Not started,,No,
28. Overloaded constructors 🍕,Not started,,No,
29. ToString method 🎉,Not started,,No,
30. Array of objects 🍱,Not started,,No,
31. Object passing 🏬,Not started,,No,
32. Static keyword ⚡,Not started,,No,
33. Inheritance 👪,Not started,,No,
34. Method overriding 🙅‍♂️,Not started,,No,
35. Super keyword 🦸‍♂️,Not started,,No,
36. Abstraction 👻,Not started,,No,
37. Access modifiers 🔒,Not started,,No,
38. Encapsulation 💊,Not started,,No,
39. Copy objects 🖨️,Not started,,No,
40. Interface 🦅,Not started,,No,
41. Polymorphism 🏁,Not started,,No,
42. Dynamic polymorphism ✨,Not started,,No,
File Handling & Exception Handling,Not started,,No,
43. Exception handling ⚠️,Not started,,No,
44. File class 📁,Not started,,No,
45. FileWriter (write to a file) 📝,Not started,,No,
"46. FileReader (read a file) 📖  ",Not started,,No,
GUI Programming (Swing),Not started,,No,
47. GUI Basics 🖼️,Not started,,No,
48. Labels 👨‍💻,Not started,,No,
49. Panels 🟥,Not started,,No,
50. Buttons 🛎️,Not started,,No,
51. BorderLayout 🧭,Not started,,No,
52. FlowLayout 🌊,Not started,,No,
53. GridLayout 🔳,Not started,,No,
54. LayeredPane 📚,Not started,,No,
55. Open a new GUI window 🗔,Not started,,No,
56. JOptionPane 🛑,Not started,,No,
57. Textfield 📛,Not started,,No,
58. Checkbox ✔️,Not started,,No,
59. Radio buttons 🔘,Not started,,No,
60. Combobox 📑,Not started,,No,
61. Slider 🌡️,Not started,,No,
62. Progress bar 📊,Not started,,No,
63. Menubar 🗄️,Not started,,No,
64. Select a file 🔎,Not started,,No,
"65. Color chooser 🎨  ",Not started,,No,
Event Handling & Graphics,Not started,,No,
66. KeyListener 🚀,Not started,,No,
67. MouseListener 🖱️,Not started,,No,
68. Drag and drop 👈,Not started,,No,
69. Key bindings ⌨️,Not started,,No,
70. 2D graphics 🖍️,Not started,,No,
"71. 2D animation 👾  ",Not started,,No,
Advanced Topics,Not started,,No,
72. Generics ❓,Not started,,No,
73. Serialization 🥣,Not started,,No,
74. TimerTask ⌚,Not started,,No,
75. Threads 🧵,Not started,,No,
76. Multithreading 🧶,Not started,,No,
77. Packages 📦,Not started,,No,
78. Compile/run via command prompt 💽,Not started,,No,
"79. Executable (.jar) ☕  ",Not started,,No,
